VCD info: dumpfile tb_FPU.vcd opened for output.
          0 A = 00000000000000000000000000000000, B = 00000000000000000000000000000000, Sel = 00, Y = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx, Overflow = x, Error = x
         55 A = 00000000000000000000000000000000, B = 00000000000000000000000000000000, Sel = 11, Y = 00000000000000000000000000000000, Overflow = 0, Error = 1
         56 A = 00000000000000000000000000000000, B = 00000000000000000000000000000000, Sel = 11, Y = 00000000000000000000000000000000, Overflow = 0, Error = 0
         57 A = 00000000000000000000000000000000, B = 00000000000000000000000000000000, Sel = 11, Y = 00000000000000000000000000000000, Overflow = 0, Error = 1
         58 A = 00000000000000000000000000000000, B = 00000000000000000000000000000000, Sel = 11, Y = 01111111110000000000000000000000, Overflow = 0, Error = 1
         59 A = 01000011000000010000000000000000, B = 01000010111100000000000000000000, Sel = 00, Y = 01111111110000000000000000000000, Overflow = 0, Error = 1
         60 A = 01000011000000010000000000000000, B = 01000010111100000000000000000000, Sel = 00, Y = 00000000000000000000000000000000, Overflow = 0, Error = 1
         61 A = 01000011000000010000000000000000, B = 01000010111100000000000000000000, Sel = 00, Y = 00000000000000000000000000000000, Overflow = 0, Error = 0
         62 A = 01000011000000010000000000000000, B = 01000010111100000000000000000000, Sel = 00, Y = 00000000000000000000000000000000, Overflow = 0, Error = 0
         63 A = 01000011000000010000000000000000, B = 01000010111100000000000000000000, Sel = 00, Y = 01000011011110010000000000000000, Overflow = 0, Error = 0
         64 A = 01000010111111100000000000000000, B = 11000000010000000000000000000000, Sel = 00, Y = 01000011011110010000000000000000, Overflow = 0, Error = 0
         65 A = 01000010111111100000000000000000, B = 11000000010000000000000000000000, Sel = 00, Y = 00000000000000000000000000000000, Overflow = 0, Error = 0
         66 A = 01000010111111100000000000000000, B = 11000000010000000000000000000000, Sel = 00, Y = 00000000000000000000000000000000, Overflow = 0, Error = 0
         67 A = 01000010111111100000000000000000, B = 11000000010000000000000000000000, Sel = 00, Y = 01000010111110000000000000000000, Overflow = 0, Error = 0
         68 A = 11000010100000000000000000000000, B = 01000010111111100000000000000000, Sel = 00, Y = 01000010111110000000000000000000, Overflow = 0, Error = 0
         69 A = 11000010100000000000000000000000, B = 01000010111111100000000000000000, Sel = 00, Y = 00000000000000000000000000000000, Overflow = 0, Error = 0
         70 A = 11000010100000000000000000000000, B = 01000010111111100000000000000000, Sel = 00, Y = 00000000000000000000000000000000, Overflow = 0, Error = 0
         71 A = 11000010100000000000000000000000, B = 01000010111111100000000000000000, Sel = 00, Y = 01000010011111000000000000000000, Overflow = 0, Error = 0
         72 A = 01000010111111100000000000000000, B = 11000010000000000000000000000000, Sel = 00, Y = 01000010011111000000000000000000, Overflow = 0, Error = 0
         73 A = 01000010111111100000000000000000, B = 11000010000000000000000000000000, Sel = 00, Y = 00000000000000000000000000000000, Overflow = 0, Error = 0
         74 A = 01000010111111100000000000000000, B = 11000010000000000000000000000000, Sel = 00, Y = 00000000000000000000000000000000, Overflow = 0, Error = 0
         75 A = 01000010111111100000000000000000, B = 11000010000000000000000000000000, Sel = 00, Y = 01000010101111100000000000000000, Overflow = 0, Error = 0
         76 A = 11000010111111100000000000000000, B = 01000001111100000000000000000000, Sel = 00, Y = 01000010101111100000000000000000, Overflow = 0, Error = 0
         77 A = 11000010111111100000000000000000, B = 01000001111100000000000000000000, Sel = 00, Y = 00000000000000000000000000000000, Overflow = 0, Error = 0
         78 A = 11000010111111100000000000000000, B = 01000001111100000000000000000000, Sel = 00, Y = 00000000000000000000000000000000, Overflow = 0, Error = 0
         79 A = 11000010111111100000000000000000, B = 01000001111100000000000000000000, Sel = 00, Y = 11000010110000100000000000000000, Overflow = 0, Error = 0
         80 A = 01000001100000000000000000000000, B = 11000001110110000000000000000000, Sel = 00, Y = 11000010110000100000000000000000, Overflow = 0, Error = 0
         81 A = 01000001100000000000000000000000, B = 11000001110110000000000000000000, Sel = 00, Y = 00000000000000000000000000000000, Overflow = 0, Error = 0
         82 A = 01000001100000000000000000000000, B = 11000001110110000000000000000000, Sel = 00, Y = 00000000000000000000000000000000, Overflow = 0, Error = 0
         83 A = 01000001100000000000000000000000, B = 11000001110110000000000000000000, Sel = 00, Y = 11000001001100000000000000000000, Overflow = 0, Error = 0
