          0 00000000000000000000000000000000 00000000000000000000000000000000 00 xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx x x
        183 11000010111100000000000000000000 11000000010000000000000000000000 10 01000011101101000000000000000000 0 0
        184 10111111100000000000000000000000 11000001101100000000000000000000 10 01000011101101000000000000000000 0 0
        185 10111111100000000000000000000000 11000001101100000000000000000000 10 01000011101101000000000000000000 0 0
        186 10111111100000000000000000000000 11000001101100000000000000000000 10 01000001101100000000000000000000 0 0
        187 10111111100000000000000000000000 11000001101100000000000000000000 10 01000001101100000000000000000000 0 0
        188 01000001100010000000000000000000 01000000010000000000000000000000 11 01000001101100000000000000000000 0 0
        189 01000001100010000000000000000000 01000000010000000000000000000000 11 01000001101100000000000000000000 0 0
        190 01000001100010000000000000000000 01000000010000000000000000000000 11 01000000101101010000000000000000 0 0
        191 01000001100010000000000000000000 01000000010000000000000000000000 11 01000000101101010000000000000000 0 0
        192 01000011011100110000000000000000 01000010010011000000000000000000 11 01000000101101010000000000000000 0 0
        193 01000011011100110000000000000000 01000010010011000000000000000000 11 01000000101101010000000000000000 0 0
        194 01000011011100110000000000000000 01000010010011000000000000000000 11 01000000100110000000000000000000 0 0
        195 01000011011100110000000000000000 01000010010011000000000000000000 11 01000000100110000000000000000000 0 0
        196 01000010001011000000000000000000 01000010111000000000000000000000 11 01000000100110000000000000000000 0 0
        197 01000010001011000000000000000000 01000010111000000000000000000000 11 01000000100110000000000000000000 0 0
        198 01000010001011000000000000000000 01000010111000000000000000000000 11 00111110110001001000000000000000 0 0
        199 01000010001011000000000000000000 01000010111000000000000000000000 11 00111110110001001000000000000000 0 0
        200 01000000000000000000000000000000 01000011001001100000000000000000 11 00111110110001001000000000000000 0 0
        201 01000000000000000000000000000000 01000011001001100000000000000000 11 00111110110001001000000000000000 0 0
        202 01000000000000000000000000000000 01000011001001100000000000000000 11 00111100010001010000000000000000 0 0
        203 01000000000000000000000000000000 01000011001001100000000000000000 11 00111100010001010000000000000000 0 0
        204 11000001100010000000000000000000 01000000010000000000000000000000 11 00111100010001010000000000000000 0 0
        205 11000001100010000000000000000000 01000000010000000000000000000000 11 00111100010001010000000000000000 0 0
        206 11000001100010000000000000000000 01000000010000000000000000000000 11 11000000101101010000000000000000 0 0
        207 11000001100010000000000000000000 01000000010000000000000000000000 11 11000000101101010000000000000000 0 0
        208 11000011011100110000000000000000 01000010010011000000000000000000 11 11000000101101010000000000000000 0 0
        209 11000011011100110000000000000000 01000010010011000000000000000000 11 11000000101101010000000000000000 0 0
        210 11000011011100110000000000000000 01000010010011000000000000000000 11 11000000100110000000000000000000 0 0
        211 11000011011100110000000000000000 01000010010011000000000000000000 11 11000000100110000000000000000000 0 0
        212 11000010001011000000000000000000 01000010111000000000000000000000 11 11000000100110000000000000000000 0 0
        213 11000010001011000000000000000000 01000010111000000000000000000000 11 11000000100110000000000000000000 0 0
        214 11000010001011000000000000000000 01000010111000000000000000000000 11 10111110110001001000000000000000 0 0
        215 11000010001011000000000000000000 01000010111000000000000000000000 11 10111110110001001000000000000000 0 0
        216 11000000000000000000000000000000 01000011001001100000000000000000 11 10111110110001001000000000000000 0 0
        217 11000000000000000000000000000000 01000011001001100000000000000000 11 10111110110001001000000000000000 0 0
        218 11000000000000000000000000000000 01000011001001100000000000000000 11 10111100010001010000000000000000 0 0
        219 11000000000000000000000000000000 01000011001001100000000000000000 11 10111100010001010000000000000000 0 0
        220 01000001100010000000000000000000 11000000010000000000000000000000 11 10111100010001010000000000000000 0 0
        221 01000001100010000000000000000000 11000000010000000000000000000000 11 10111100010001010000000000000000 0 0
        222 01000001100010000000000000000000 11000000010000000000000000000000 11 11000000101101010000000000000000 0 0
        223 01000001100010000000000000000000 11000000010000000000000000000000 11 11000000101101010000000000000000 0 0
        224 01000011011100110000000000000000 11000010010011000000000000000000 11 11000000101101010000000000000000 0 0
        225 01000011011100110000000000000000 11000010010011000000000000000000 11 11000000101101010000000000000000 0 0
        226 01000011011100110000000000000000 11000010010011000000000000000000 11 11000000100110000000000000000000 0 0
        227 01000011011100110000000000000000 11000010010011000000000000000000 11 11000000100110000000000000000000 0 0
        228 01000010001011000000000000000000 11000010111000000000000000000000 11 11000000100110000000000000000000 0 0
        229 01000010001011000000000000000000 11000010111000000000000000000000 11 11000000100110000000000000000000 0 0
        230 01000010001011000000000000000000 11000010111000000000000000000000 11 10111110110001001000000000000000 0 0
        231 01000010001011000000000000000000 11000010111000000000000000000000 11 10111110110001001000000000000000 0 0
        232 01000000000000000000000000000000 11000011001001100000000000000000 11 10111110110001001000000000000000 0 0
        233 01000000000000000000000000000000 11000011001001100000000000000000 11 10111110110001001000000000000000 0 0
        234 01000000000000000000000000000000 11000011001001100000000000000000 11 10111100010001010000000000000000 0 0
        235 01000000000000000000000000000000 11000011001001100000000000000000 11 10111100010001010000000000000000 0 0
        236 11000001100010000000000000000000 11000000010000000000000000000000 11 10111100010001010000000000000000 0 0
        237 11000001100010000000000000000000 11000000010000000000000000000000 11 10111100010001010000000000000000 0 0
        238 11000001100010000000000000000000 11000000010000000000000000000000 11 01000000101101010000000000000000 0 0
        239 11000001100010000000000000000000 11000000010000000000000000000000 11 01000000101101010000000000000000 0 0
        240 11000011011100110000000000000000 11000010010011000000000000000000 11 01000000101101010000000000000000 0 0
        241 11000011011100110000000000000000 11000010010011000000000000000000 11 01000000101101010000000000000000 0 0
        242 11000011011100110000000000000000 11000010010011000000000000000000 11 01000000100110000000000000000000 0 0
        243 11000011011100110000000000000000 11000010010011000000000000000000 11 01000000100110000000000000000000 0 0
        244 11000010001011000000000000000000 11000010111000000000000000000000 11 01000000100110000000000000000000 0 0
        245 11000010001011000000000000000000 11000010111000000000000000000000 11 01000000100110000000000000000000 0 0
        246 11000010001011000000000000000000 11000010111000000000000000000000 11 00111110110001001000000000000000 0 0
        247 11000010001011000000000000000000 11000010111000000000000000000000 11 00111110110001001000000000000000 0 0
        248 11000000000000000000000000000000 11000011001001100000000000000000 11 00111110110001001000000000000000 0 0
        249 11000000000000000000000000000000 11000011001001100000000000000000 11 00111110110001001000000000000000 0 0
        250 11000000000000000000000000000000 11000011001001100000000000000000 11 00111100010001010000000000000000 0 0
        251 11000000000000000000000000000000 11000011001001100000000000000000 11 00111100010001010000000000000000 0 0
